work_year,experience_level,salary_in_usd,remote_ratio,company_location,company_size,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2020,2,325000,100,1,2,0,0,1,0
2020,0,138000,100,1,0,0,0,1,0
2020,1,62726,50,0,0,0,0,1,0
2022,1,87425,100,0,2,0,0,1,0
2022,0,86703,50,0,1,0,0,1,0
2021,1,12901,0,0,0,0,0,1,0
2021,3,18907,0,0,1,0,0,1,0
2020,3,117104,50,0,2,0,0,1,0
2021,1,54238,50,0,2,0,0,1,0
2021,1,187442,100,0,2,0,0,1,0
2021,1,75774,100,0,2,0,0,1,0
2021,3,127221,50,0,2,0,0,1,0
2021,3,96113,50,0,2,0,0,1,0
2021,3,87738,100,0,0,0,0,1,0
2021,3,71786,100,0,1,0,0,1,0
2021,1,63810,100,0,1,0,0,1,0
2021,3,103691,100,0,2,0,0,1,0
2021,3,99703,50,0,1,0,0,1,0
2022,2,118187,100,0,0,0,0,1,0
2022,1,78791,100,0,1,0,0,1,0
2022,2,196979,50,0,2,0,0,1,0
2022,3,78791,100,0,1,0,0,1,0
2022,0,52396,100,0,2,0,0,1,0
2022,1,70912,50,0,2,0,0,1,0
2022,1,69336,100,0,1,0,0,1,0
2022,1,122346,0,0,2,0,0,1,0
2021,1,40038,100,0,2,0,0,1,0
2020,1,43331,0,0,1,0,0,1,0
2022,1,37236,50,1,2,0,0,1,0
2020,0,45896,50,0,0,0,0,1,0
2021,0,28609,50,0,0,0,0,0,1
2020,1,79833,0,0,2,0,0,1,0
2020,0,51321,0,0,0,0,0,1,0
2020,0,39916,0,0,1,0,0,1,0
2020,3,114047,100,0,0,0,0,1,0
2020,3,47899,50,0,2,0,0,1,0
2020,1,59303,100,0,0,0,0,1,0
2020,3,68428,100,1,2,0,0,1,0
2020,1,46759,50,0,2,0,0,1,0
2020,1,74130,50,0,2,0,0,1,0
2020,2,79833,50,0,2,0,0,1,0
2020,1,50180,0,0,1,0,0,1,0
2020,0,15966,100,0,0,0,0,0,1
2020,1,70139,50,0,2,0,0,1,0
2020,0,54742,100,0,2,0,0,1,0
2020,3,148261,100,0,1,0,0,1,0
2020,1,38776,100,0,1,0,0,1,0
2020,0,21669,50,0,0,0,0,0,1
2020,3,45618,100,0,0,0,0,1,0
2020,0,62726,50,0,0,0,0,1,0
2020,0,49268,0,0,0,0,0,1,0
2020,3,91237,0,0,0,0,0,1,0
2020,1,42197,50,0,0,0,0,1,0
2021,3,53192,50,0,2,0,0,1,0
2021,3,79197,100,0,2,0,0,1,0
2021,1,47282,100,0,0,0,0,1,0
2021,2,153667,100,0,2,0,0,1,0
2021,3,88654,100,0,2,0,0,1,0
2021,0,76833,100,0,0,0,0,1,0
2021,1,95746,100,1,0,0,0,1,0
2021,3,94564,50,0,2,0,0,1,0
2021,1,45391,100,0,2,0,0,1,0
2021,1,40189,100,0,1,0,0,1,0
2021,0,10354,50,0,1,0,0,0,1
2021,0,49646,50,0,1,0,0,1,0
